备盒,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18技 固父,1,1,0,1,4,2,2,3,2,2,2,1,1,0,2,0,0,0
18技 ~ 24技,50,31,33,30,29,31,34,30,24,29,35,35,21,15,31,19,14,20
25技 ~ 29技,113,91,86,68,70,73,40,50,46,48,39,43,29,45,42,46,41,31
30技 ~ 34技,181,148,114,113,118,97,90,86,103,74,66,53,40,48,57,56,63,45
35技 ~ 39技,256,230,179,203,190,148,122,121,123,105,100,103,93,96,92,100,80,95
40技 ~ 44技,358,307,299,276,300,250,243,183,209,196,159,176,165,166,164,140,132,129
45技 ~ 49技,410,378,419,347,342,298,318,269,265,241,244,238,233,229,234,228,206,203
50技 ~ 54技,348,336,342,331,343,303,321,346,274,347,283,271,263,290,325,267,295,312
55技 ~ 59技,303,273,276,290,293,253,264,277,301,312,325,275,314,329,362,337,315,302
60技 ~ 64技,281,206,225,207,187,177,225,217,229,251,248,245,273,296,345,298,367,335
65技 ~ 69技,154,151,143,168,134,166,144,164,168,170,180,205,181,210,241,228,242,307
70技 ~ 74技,72,66,70,73,86,69,80,71,82,107,115,94,101,117,129,176,153,163
75技 ~ 79技,15,25,22,25,33,36,34,32,26,32,41,52,47,92,81,91,106,96
80技 捞惑,9,6,15,10,17,13,14,11,12,15,13,19,16,24,37,34,48,42
盒幅阂瓷,35,33,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
