18세 미만,1,1,0,1,4,2,2,3,2,2,2,1,1,0,2,0,0,0
18세 ~ 24세,50,31,33,30,29,31,34,30,24,29,35,35,21,15,31,19,14,20
25세 ~ 29세,113,91,86,68,70,73,40,50,46,48,39,43,29,45,42,46,41,31
30세 ~ 34세,181,148,114,113,118,97,90,86,103,74,66,53,40,48,57,56,63,45
35세 ~ 39세,256,230,179,203,190,148,122,121,123,105,100,103,93,96,92,100,80,95
40세 ~ 44세,358,307,299,276,300,250,243,183,209,196,159,176,165,166,164,140,132,129
45세 ~ 49세,410,378,419,347,342,298,318,269,265,241,244,238,233,229,234,228,206,203
50세 ~ 54세,348,336,342,331,343,303,321,346,274,347,283,271,263,290,325,267,295,312
55세 ~ 59세,303,273,276,290,293,253,264,277,301,312,325,275,314,329,362,337,315,302
60세 ~ 64세,281,206,225,207,187,177,225,217,229,251,248,245,273,296,345,298,367,335
65세 ~ 69세,154,151,143,168,134,166,144,164,168,170,180,205,181,210,241,228,242,307
70세 ~ 74세,72,66,70,73,86,69,80,71,82,107,115,94,101,117,129,176,153,163
75세 ~ 79세,15,25,22,25,33,36,34,32,26,32,41,52,47,92,81,91,106,96
80세 이상,9,6,15,10,17,13,14,11,12,15,13,19,16,24,37,34,48,42
분류불능,35,33,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남,2449,2145,2115,2051,2048,1841,1868,1788,1796,1852,1775,1746,1699,1883,2030,1948,1986,1984
여,137,137,123,108,98,75,63,72,68,77,75,64,78,74,112,72,76,96
5인 미만,449,422,418,463,539,510,406,455,422,446,422,421,412,416,479,494,500,567
5인 ~ 9인,263,254,249,221,191,176,198,193,238,182,189,198,194,223,224,221,228,234
10인 ~ 19인,330,247,255,207,229,194,227,212,232,200,211,187,201,244,249,260,248,250
20인 ~ 29인,147,143,151,172,120,115,112,115,106,129,104,103,120,115,150,120,146,156
30인 ~ 49인,213,189,178,187,142,130,163,157,160,159,152,153,150,150,183,150,181,152
50인 ~ 99인,229,210,215,203,253,174,224,183,168,200,174,177,172,190,170,180,160,174
100인 ~ 299인,410,364,329,310,299,275,274,227,261,262,239,239,216,245,295,240,260,210
300인 ~ 499인,149,125,116,106,96,93,97,90,77,111,131,128,115,106,136,113,93,88
500인 ~ 999인,166,154,173,133,140,130,101,113,87,112,122,123,114,177,153,158,162,141
"1,000인 이상",230,174,154,157,137,119,129,115,113,128,106,81,83,91,103,84,84,108
구분,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
