구분,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5인 미만,449,422,418,463,539,510,406,455,422,446,422,421,412,416,479,494,500,567
5인 ~ 9인,263,254,249,221,191,176,198,193,238,182,189,198,194,223,224,221,228,234
10인 ~ 19인,330,247,255,207,229,194,227,212,232,200,211,187,201,244,249,260,248,250
20인 ~ 29인,147,143,151,172,120,115,112,115,106,129,104,103,120,115,150,120,146,156
30인 ~ 49인,213,189,178,187,142,130,163,157,160,159,152,153,150,150,183,150,181,152
50인 ~ 99인,229,210,215,203,253,174,224,183,168,200,174,177,172,190,170,180,160,174
100인 ~ 299인,410,364,329,310,299,275,274,227,261,262,239,239,216,245,295,240,260,210
300인 ~ 499인,149,125,116,106,96,93,97,90,77,111,131,128,115,106,136,113,93,88
500인 ~ 999인,166,154,173,133,140,130,101,113,87,112,122,123,114,177,153,158,162,141
"1,000인 이상",230,174,154,157,137,119,129,115,113,128,106,81,83,91,103,84,84,108
