날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-05-01,7호선,남성,5648,5667,11315,-19,5,1,일
2022-05-01,7호선,숭실대입구(살피재),6017,6753,12770,-736,5,1,일
2022-05-01,7호선,상도,5645,6010,11655,-365,5,1,일
2022-05-01,7호선,장승배기,4600,4650,9250,-50,5,1,일
2022-05-01,7호선,신대방삼거리,8552,8417,16969,135,5,1,일
2022-05-01,7호선,보라매,4652,4792,9444,-140,5,1,일
2022-05-01,7호선,신풍,6573,6373,12946,200,5,1,일
2022-05-01,7호선,대림(구로구청),8173,7352,15525,821,5,1,일
2022-05-01,7호선,남구로,7045,6716,13761,329,5,1,일
2022-05-01,7호선,가산디지털단지,11663,10814,22477,849,5,1,일
2022-05-01,7호선,철산,11251,11206,22457,45,5,1,일
2022-05-01,7호선,광명사거리,13293,13140,26433,153,5,1,일
2022-05-01,7호선,천왕,5250,5073,10323,177,5,1,일
2022-05-01,7호선,온수(성공회대입구),4124,4319,8443,-195,5,1,일
2022-05-01,8호선,암사,9599,9113,18712,486,5,1,일
2022-05-01,8호선,천호(풍납토성),9280,10601,19881,-1321,5,1,일
2022-05-01,8호선,강동구청,4719,4979,9698,-260,5,1,일
2022-05-01,8호선,몽촌토성(평화의문),3865,3766,7631,99,5,1,일
2022-05-01,8호선,잠실(송파구청),10802,12451,23253,-1649,5,1,일
2022-05-01,8호선,석촌,4368,5529,9897,-1161,5,1,일
2022-05-01,8호선,송파,4212,4352,8564,-140,5,1,일
2022-05-01,8호선,가락시장,3370,4176,7546,-806,5,1,일
2022-05-01,8호선,문정,5602,5966,11568,-364,5,1,일
2022-05-01,8호선,장지,9723,9796,19519,-73,5,1,일
2022-05-01,8호선,복정,5132,4863,9995,269,5,1,일
2022-05-01,8호선,산성,3424,3580,7004,-156,5,1,일
2022-05-01,8호선,남한산성입구(성남법원.검찰청),7112,6916,14028,196,5,1,일
2022-05-01,8호선,단대오거리,5900,5764,11664,136,5,1,일
2022-05-01,8호선,신흥,2692,3033,5725,-341,5,1,일
2022-05-01,8호선,수진,3209,2937,6146,272,5,1,일
2022-05-01,8호선,모란,2971,2429,5400,542,5,1,일
2022-05-01,8호선,남위례,2544,2583,5127,-39,5,1,일
2022-05-01,9호선,개화,1288,1141,2429,147,5,1,일
2022-05-01,9호선,김포공항,7687,11819,19506,-4132,5,1,일
2022-05-01,9호선,공항시장,1862,2014,3876,-152,5,1,일
2022-05-01,9호선,신방화,3576,3563,7139,13,5,1,일
2022-05-01,9호선,마곡나루(서울식물원),6460,6452,12912,8,5,1,일
2022-05-01,9호선,양천향교,4349,4596,8945,-247,5,1,일
2022-05-01,9호선,가양,10898,10933,21831,-35,5,1,일
2022-05-01,9호선,증미,2966,2935,5901,31,5,1,일
2022-05-01,9호선,등촌,5316,5486,10802,-170,5,1,일
2022-05-01,9호선,염창,9212,9223,18435,-11,5,1,일
2022-05-01,9호선,신목동,1978,1748,3726,230,5,1,일
2022-05-01,9호선,선유도,3321,3387,6708,-66,5,1,일
2022-05-01,9호선,당산,10093,9701,19794,392,5,1,일
2022-05-01,9호선,국회의사당,5260,4762,10022,498,5,1,일
2022-05-01,9호선,여의도,10992,9752,20744,1240,5,1,일
2022-05-01,9호선,샛강,2069,1922,3991,147,5,1,일
2022-05-01,9호선,노량진,16085,16910,32995,-825,5,1,일
2022-05-01,9호선,노들,3026,2808,5834,218,5,1,일
2022-05-01,9호선,흑석(중앙대입구),4503,4868,9371,-365,5,1,일
2022-05-01,9호선,동작(현충원),1633,1370,3003,263,5,1,일
2022-05-01,9호선,구반포,453,467,920,-14,5,1,일
2022-05-01,9호선,신반포,2335,2590,4925,-255,5,1,일
2022-05-01,9호선,고속터미널,12979,18275,31254,-5296,5,1,일
2022-05-01,9호선,사평,1713,1765,3478,-52,5,1,일
2022-05-01,9호선,신논현,17982,16476,34458,1506,5,1,일
2022-05-01,9호선2~3단계,언주,4064,3985,8049,79,5,1,일
2022-05-01,9호선2~3단계,선정릉,3199,3672,6871,-473,5,1,일
2022-05-01,9호선2~3단계,삼성중앙,2139,2241,4380,-102,5,1,일
2022-05-01,9호선2~3단계,봉은사,9250,9270,18520,-20,5,1,일
2022-05-01,9호선2~3단계,종합운동장,3785,3219,7004,566,5,1,일
2022-05-01,9호선2~3단계,삼전,3739,3749,7488,-10,5,1,일
2022-05-01,9호선2~3단계,석촌고분,3502,3401,6903,101,5,1,일
2022-05-01,9호선2~3단계,석촌,5258,4567,9825,691,5,1,일
2022-05-01,9호선2~3단계,송파나루,3694,3903,7597,-209,5,1,일
2022-05-01,9호선2~3단계,한성백제,1539,1477,3016,62,5,1,일
2022-05-01,9호선2~3단계,올림픽공원(한국체대),9811,9880,19691,-69,5,1,일
2022-05-01,9호선2~3단계,둔촌오륜,527,553,1080,-26,5,1,일
2022-05-01,9호선2~3단계,중앙보훈병원,3742,3522,7264,220,5,1,일
2022-05-01,경강선,판교,2733,2551,5284,182,5,1,일
2022-05-01,경강선,이매,793,521,1314,272,5,1,일
2022-05-01,경강선,삼동,1196,1171,2367,25,5,1,일
2022-05-01,경강선,경기광주,4471,4336,8807,135,5,1,일
2022-05-01,경강선,초월,1740,1747,3487,-7,5,1,일
2022-05-01,경강선,곤지암,1728,1847,3575,-119,5,1,일
2022-05-01,경강선,신둔도예촌,1057,1101,2158,-44,5,1,일
2022-05-01,경강선,이천,2350,2557,4907,-207,5,1,일
2022-05-01,경강선,부발,1653,2357,4010,-704,5,1,일
2022-05-01,경강선,세종대왕릉,371,327,698,44,5,1,일
2022-05-01,경강선,여주,2519,2474,4993,45,5,1,일
2022-05-01,경부선,서울역,9183,2158,11341,7025,5,1,일
2022-05-01,경부선,남영,4823,5147,9970,-324,5,1,일
2022-05-01,경부선,용산,35900,32868,68768,3032,5,1,일
2022-05-01,경부선,노량진,6587,6544,13131,43,5,1,일
2022-05-01,경부선,대방,6707,7013,13720,-306,5,1,일
2022-05-01,경부선,영등포,35422,34223,69645,1199,5,1,일
2022-05-01,경부선,신도림,2488,2622,5110,-134,5,1,일
2022-05-01,경부선,신길,5207,4663,9870,544,5,1,일
