승차승객,하차승객
2283,2257
4697,4681
3454,3456
4272,4253
5741,5652
11846,11815
12495,12481
2600,2598
3539,3526
4528,4473
2764,2741
3524,3510
1631,1622
37780,37531
3568,3553
6873,6863
10095,10106
4915,4905
1735,1734
25858,25866
2793,2778
972,950
3416,3402
13596,13580
2293,2295
1302,1290
2893,2882
5125,5107
8497,8479
29592,29404
4147,4149
4812,4794
16505,16444
19138,18943
3146,3139
6775,6756
4554,4549
4953,4945
2098,2082
51498,50567
14225,14286
15345,14681
5972,5966
386,378
1854,1843
5552,5536
2298,2293
1616,1588
7957,7944
7015,6988
1893,1868
1061,1047
4350,4337
5502,5488
3944,3934
10028,10020
3392,3322
13397,13375
4517,4491
17866,17808
4775,4797
5242,5090
11928,11911
11923,11889
28030,27917
986,961
8956,8937
645,640
4453,4378
2613,2604
12931,12898
8435,8403
13237,13231
736,731
8239,8248
8943,8500
7026,6992
3459,3448
304,293
5658,5645
997,998
3308,3316
17564,17533
7320,7317
4865,4838
4777,4784
5864,5842
4572,4553
12687,12711
565,551
7287,7275
12043,11909
7315,7198
17250,17198
17989,17919
7473,7463
623,621
17021,17031
6217,6208
5599,5580
3188,3180
2845,2782
952,934
7459,7464
5786,5758
3540,3520
17139,17114
7219,7210
12936,12901
12014,11973
8421,8385
4841,4843
3258,3266
2896,2887
6272,6259
2533,2522
5962,5976
65,55
8694,8711
6512,6517
2468,2456
11593,11556
10406,10348
3492,3483
1301,1286
7856,7850
8870,8838
17334,17297
2502,2487
1608,1599
6172,6125
2068,2039
3587,3608
4683,4673
7936,7851
7797,7778
4501,4510
2207,2195
4040,4016
3858,3849
2356,2345
3382,3366
6556,6539
954,918
4023,4009
6466,6288
9833,9607
1542,1537
1911,1912
2702,2705
5271,5238
1702,1667
7275,7262
6391,6390
8784,8740
11486,11443
11167,11155
8915,8530
1067,1043
9035,9012
1702,1657
2801,2792
14134,14111
7573,7560
11506,11476
10776,10744
1615,1604
1355,1331
5516,5354
5223,5212
685,679
5704,5711
6440,6345
1734,1725
6670,6584
13847,13810
13242,13226
4198,4191
6505,6501
