날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,수인선,사리,4826,4343,9169,483,4,1,금
2022-04-01,5호선,방이,6817,6943,13760,-126,4,1,금
2022-04-01,5호선,올림픽공원(한국체대),4328,3712,8040,616,4,1,금
2022-04-01,5호선,둔촌동,8404,8305,16709,99,4,1,금
2022-04-01,5호선,상일동,14176,13268,27444,908,4,1,금
2022-04-01,5호선,고덕,9235,9076,18311,159,4,1,금
2022-04-01,5호선,명일,8442,8730,17172,-288,4,1,금
2022-04-01,5호선,굽은다리(강동구민회관앞),9218,8644,17862,574,4,1,금
2022-04-01,5호선,길동,7866,8262,16128,-396,4,1,금
2022-04-01,5호선,강동,18055,17105,35160,950,4,1,금
2022-04-01,5호선,천호(풍납토성),17985,17884,35869,101,4,1,금
2022-04-01,5호선,광나루(장신대),13080,11648,24728,1432,4,1,금
2022-04-01,5호선,아차산(어린이대공원후문),15153,14691,29844,462,4,1,금
2022-04-01,5호선,군자(능동),10928,12144,23072,-1216,4,1,금
2022-04-01,5호선,장한평,17930,17778,35708,152,4,1,금
2022-04-01,5호선,답십리,15538,13920,29458,1618,4,1,금
2022-04-01,5호선,개롱,6249,6472,12721,-223,4,1,금
2022-04-01,5호선,거여,9823,9306,19129,517,4,1,금
2022-04-01,5호선,마천,7018,6618,13636,400,4,1,금
2022-04-01,5호선,강일,4072,3728,7800,344,4,1,금
2022-04-01,5호선,미사,15686,15703,31389,-17,4,1,금
2022-04-01,5호선,하남풍산,4248,4234,8482,14,4,1,금
2022-04-01,5호선,하남시청(덕풍·신장),6541,6505,13046,36,4,1,금
2022-04-01,5호선,하남검단산,5412,5199,10611,213,4,1,금
2022-04-01,6호선,응암,17127,16978,34105,149,4,1,금
2022-04-01,1호선,시청,20773,21177,41950,-404,4,1,금
2022-04-01,1호선,종각,31866,30795,62661,1071,4,1,금
2022-04-01,1호선,종로3가,24279,22331,46610,1948,4,1,금
2022-04-01,1호선,종로5가,22217,22157,44374,60,4,1,금
2022-04-01,1호선,동대문,10776,9652,20428,1124,4,1,금
2022-04-01,1호선,신설동,13637,13185,26822,452,4,1,금
2022-04-01,1호선,제기동,17133,17426,34559,-293,4,1,금
2022-04-01,1호선,청량리(서울시립대입구),19844,19618,39462,226,4,1,금
2022-04-01,1호선,동묘앞,8297,8644,16941,-347,4,1,금
2022-04-01,2호선,시청,21848,21331,43179,517,4,1,금
2022-04-01,2호선,을지로입구,36620,37857,74477,-1237,4,1,금
2022-04-01,2호선,을지로3가,21663,22050,43713,-387,4,1,금
2022-04-01,2호선,을지로4가,12527,12724,25251,-197,4,1,금
2022-04-01,2호선,동대문역사문화공원(DDP),12146,13895,26041,-1749,4,1,금
2022-04-01,2호선,신당,13793,14238,28031,-445,4,1,금
2022-04-01,2호선,상왕십리,13993,13510,27503,483,4,1,금
2022-04-01,2호선,왕십리(성동구청),17569,14423,31992,3146,4,1,금
2022-04-01,2호선,한양대,12721,13848,26569,-1127,4,1,금
2022-04-01,2호선,뚝섬,22608,23885,46493,-1277,4,1,금
2022-04-01,2호선,성수,36504,39659,76163,-3155,4,1,금
2022-04-01,2호선,건대입구,38640,40837,79477,-2197,4,1,금
2022-04-01,2호선,구의(광진구청),23373,22662,46035,711,4,1,금
2022-04-01,2호선,강변(동서울터미널),30381,28921,59302,1460,4,1,금
2022-04-01,2호선,잠실나루,13537,11695,25232,1842,4,1,금
2022-04-01,2호선,잠실(송파구청),69024,69044,138068,-20,4,1,금
2022-04-01,2호선,잠실새내,20846,21324,42170,-478,4,1,금
2022-04-01,2호선,종합운동장,6711,7250,13961,-539,4,1,금
2022-04-01,2호선,삼성(무역센터),47389,47950,95339,-561,4,1,금
2022-04-01,2호선,선릉,51279,45602,96881,5677,4,1,금
2022-04-01,2호선,역삼,45862,51594,97456,-5732,4,1,금
2022-04-01,2호선,강남,81663,80892,162555,771,4,1,금
2022-04-01,2호선,교대(법원.검찰청),32275,36305,68580,-4030,4,1,금
2022-04-01,2호선,서초,20665,19629,40294,1036,4,1,금
2022-04-01,2호선,방배,18134,18842,36976,-708,4,1,금
2022-04-01,2호선,사당,36112,40286,76398,-4174,4,1,금
2022-04-01,2호선,낙성대(강감찬),27203,25344,52547,1859,4,1,금
2022-04-01,2호선,서울대입구(관악구청),48258,47114,95372,1144,4,1,금
2022-04-01,2호선,봉천,23137,21123,44260,2014,4,1,금
2022-04-01,2호선,신림,62771,60285,123056,2486,4,1,금
2022-04-01,2호선,신대방,25956,25143,51099,813,4,1,금
2022-04-01,2호선,구로디지털단지,56725,56240,112965,485,4,1,금
2022-04-01,2호선,대림(구로구청),22732,23398,46130,-666,4,1,금
2022-04-01,2호선,신도림,45947,47027,92974,-1080,4,1,금
2022-04-01,2호선,문래,21332,22048,43380,-716,4,1,금
2022-04-01,2호선,영등포구청,21752,22567,44319,-815,4,1,금
2022-04-01,2호선,당산,18724,21709,40433,-2985,4,1,금
2022-04-01,2호선,합정,31551,33815,65366,-2264,4,1,금
2022-04-01,2호선,홍대입구,56121,60931,117052,-4810,4,1,금
2022-04-01,2호선,신촌,35779,35591,71370,188,4,1,금
2022-04-01,2호선,이대,13995,14492,28487,-497,4,1,금
2022-04-01,2호선,아현,10424,9717,20141,707,4,1,금
2022-04-01,2호선,충정로(경기대입구),9414,10032,19446,-618,4,1,금
2022-04-01,2호선,용답,3023,3177,6200,-154,4,1,금
2022-04-01,2호선,신답,1595,1781,3376,-186,4,1,금
2022-04-01,2호선,신설동,3555,3038,6593,517,4,1,금
2022-04-01,2호선,도림천,1343,1420,2763,-77,4,1,금
2022-04-01,2호선,양천구청,6497,6770,13267,-273,4,1,금
2022-04-01,2호선,신정네거리,9867,10363,20230,-496,4,1,금
2022-04-01,2호선,용두(동대문구청),2281,2410,4691,-129,4,1,금
2022-04-01,3호선,지축,4780,4420,9200,360,4,1,금
2022-04-01,3호선,구파발,19702,19262,38964,440,4,1,금
2022-04-01,3호선,연신내,35789,34222,70011,1567,4,1,금
2022-04-01,3호선,불광,15588,16636,32224,-1048,4,1,금
2022-04-01,3호선,녹번,15091,13417,28508,1674,4,1,금
2022-04-01,3호선,홍제,17104,16234,33338,870,4,1,금
2022-04-01,3호선,무악재,3724,3706,7430,18,4,1,금
2022-04-01,3호선,독립문,6835,7233,14068,-398,4,1,금
2022-04-01,3호선,경복궁(정부서울청사),21753,21531,43284,222,4,1,금
2022-04-01,3호선,안국,20895,21751,42646,-856,4,1,금
2022-04-01,3호선,종로3가,9980,11774,21754,-1794,4,1,금
2022-04-01,3호선,을지로3가,10123,10645,20768,-522,4,1,금
2022-04-01,3호선,동대입구,8586,9502,18088,-916,4,1,금
2022-04-01,3호선,약수,12826,12476,25302,350,4,1,금
2022-04-01,3호선,금호,7781,7169,14950,612,4,1,금
2022-04-01,3호선,압구정,30687,32977,63664,-2290,4,1,금
2022-04-01,3호선,신사,31088,32585,63673,-1497,4,1,금
2022-04-01,3호선,잠원,4769,4664,9433,105,4,1,금
2022-04-01,3호선,고속터미널,42055,43793,85848,-1738,4,1,금
2022-04-01,3호선,교대(법원.검찰청),13976,9108,23084,4868,4,1,금
2022-04-01,3호선,남부터미널(예술의전당),28716,28916,57632,-200,4,1,금
2022-04-01,3호선,양재(서초구청),37358,39966,77324,-2608,4,1,금
2022-04-01,3호선,매봉,11596,11102,22698,494,4,1,금
2022-04-01,3호선,도곡,5004,5232,10236,-228,4,1,금
2022-04-01,3호선,대치,10670,10752,21422,-82,4,1,금
