노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
22,2283,1940,4223,343,9,25,6
12,4697,4287,8984,410,9,25,6
7,3454,4242,7696,-788,9,25,6
2,4272,4510,8782,-238,9,25,6
11,5741,7522,13263,-1781,9,25,6
6,11846,10790,22636,1056,9,25,6
8,12495,12181,24676,314,9,25,6
22,2600,2507,5107,93,9,25,6
13,3539,3383,6922,156,9,25,6
18,4528,5355,9883,-827,9,25,6
15,2764,2102,4866,662,9,25,6
14,3524,3247,6771,277,9,25,6
15,1631,1475,3106,156,9,25,6
1,37780,36088,73868,1692,9,25,6
18,3568,4345,7913,-777,9,25,6
6,6873,7500,14373,-627,9,25,6
4,10095,9944,20039,151,9,25,6
7,4915,4994,9909,-79,9,25,6
13,1735,1634,3369,101,9,25,6
1,25858,26289,52147,-431,9,25,6
4,2793,2620,5413,173,9,25,6
15,972,765,1737,207,9,25,6
4,3416,3640,7056,-224,9,25,6
14,13596,13030,26626,566,9,25,6
18,2293,2296,4589,-3,9,25,6
8,1302,1161,2463,141,9,25,6
4,2893,2919,5812,-26,9,25,6
4,5125,5124,10249,1,9,25,6
6,8497,9100,17597,-603,9,25,6
1,29592,30385,59977,-793,9,25,6
16,4147,4192,8339,-45,9,25,6
10,4812,4635,9447,177,9,25,6
17,16505,17026,33531,-521,9,25,6
2,19138,21514,40652,-2376,9,25,6
2,3146,3166,6312,-20,9,25,6
16,6775,6311,13086,464,9,25,6
4,4554,4604,9158,-50,9,25,6
5,4953,4986,9939,-33,9,25,6
19,2098,2110,4208,-12,9,25,6
2,51498,47890,99388,3608,9,25,6
6,14225,9678,23903,4547,9,25,6
8,15345,21812,37157,-6467,9,25,6
21,5972,6018,11990,-46,9,25,6
13,386,361,747,25,9,25,6
10,1854,1997,3851,-143,9,25,6
4,5552,5610,11162,-58,9,25,6
13,2298,1785,4083,513,9,25,6
16,1616,2252,3868,-636,9,25,6
5,7957,7439,15396,518,9,25,6
6,7015,7132,14147,-117,9,25,6
8,1893,2082,3975,-189,9,25,6
16,1061,1140,2201,-79,9,25,6
17,4350,4052,8402,298,9,25,6
11,5502,5029,10531,473,9,25,6
20,3944,4331,8275,-387,9,25,6
4,10028,9880,19908,148,9,25,6
11,3392,2476,5868,916,9,25,6
6,13397,13296,26693,101,9,25,6
12,4517,4857,9374,-340,9,25,6
4,17866,16715,34581,1151,9,25,6
5,4775,4549,9324,226,9,25,6
2,5242,3243,8485,1999,9,25,6
1,11928,13078,25006,-1150,9,25,6
11,11923,11779,23702,144,9,25,6
1,28030,27006,55036,1024,9,25,6
18,986,1135,2121,-149,9,25,6
25,8956,9257,18213,-301,9,25,6
8,645,630,1275,15,9,25,6
5,4453,3403,7856,1050,9,25,6
18,2613,2864,5477,-251,9,25,6
1,12931,12747,25678,184,9,25,6
14,8435,9252,17687,-817,9,25,6
2,13237,13817,27054,-580,9,25,6
25,736,608,1344,128,9,25,6
8,8239,8046,16285,193,9,25,6
6,8943,6801,15744,2142,9,25,6
4,7026,7818,14844,-792,9,25,6
11,3459,3305,6764,154,9,25,6
15,304,229,533,75,9,25,6
4,5658,5227,10885,431,9,25,6
15,997,1008,2005,-11,9,25,6
13,3308,3232,6540,76,9,25,6
11,17564,17616,35180,-52,9,25,6
11,7320,7139,14459,181,9,25,6
13,4865,5069,9934,-204,9,25,6
2,4777,4394,9171,383,9,25,6
18,5864,5664,11528,200,9,25,6
4,4572,4587,9159,-15,9,25,6
3,12687,12528,25215,159,9,25,6
15,565,610,1175,-45,9,25,6
4,7287,7275,14562,12,9,25,6
16,12043,6283,18326,5760,9,25,6
8,7315,11302,18617,-3987,9,25,6
4,17250,16529,33779,721,9,25,6
1,17989,18579,36568,-590,9,25,6
6,7473,7293,14766,180,9,25,6
19,623,627,1250,-4,9,25,6
2,17021,18470,35491,-1449,9,25,6
6,6217,6096,12313,121,9,25,6
11,5599,5969,11568,-370,9,25,6
7,3188,3287,6475,-99,9,25,6
15,2845,3753,6598,-908,9,25,6
3,952,625,1577,327,9,25,6
7,7459,6930,14389,529,9,25,6
6,5786,5879,11665,-93,9,25,6
8,3540,3037,6577,503,9,25,6
8,17139,18170,35309,-1031,9,25,6
11,7219,6744,13963,475,9,25,6
3,12936,14066,27002,-1130,9,25,6
6,12014,12258,24272,-244,9,25,6
2,8421,7506,15927,915,9,25,6
5,4841,5010,9851,-169,9,25,6
12,3258,3020,6278,238,9,25,6
12,2896,2597,5493,299,9,25,6
6,6272,6563,12835,-291,9,25,6
13,2533,2384,4917,149,9,25,6
7,5962,6025,11987,-63,9,25,6
19,65,71,136,-6,9,25,6
4,8694,8035,16729,659,9,25,6
3,6512,6108,12620,404,9,25,6
20,2468,2234,4702,234,9,25,6
8,11593,11197,22790,396,9,25,6
1,10406,11295,21701,-889,9,25,6
11,3492,3473,6965,19,9,25,6
23,1301,1163,2464,138,9,25,6
17,7856,7874,15730,-18,9,25,6
6,8870,7977,16847,893,9,25,6
1,17334,17940,35274,-606,9,25,6
18,2502,2375,4877,127,9,25,6
20,1608,1215,2823,393,9,25,6
11,6172,6853,13025,-681,9,25,6
15,2068,792,2860,1276,9,25,6
21,3587,3250,6837,337,9,25,6
2,4683,4544,9227,139,9,25,6
2,7936,6509,14445,1427,9,25,6
23,7797,7138,14935,659,9,25,6
5,4501,4724,9225,-223,9,25,6
12,2207,2104,4311,103,9,25,6
25,4040,4014,8054,26,9,25,6
12,3858,4103,7961,-245,9,25,6
2,2356,2578,4934,-222,9,25,6
18,3382,3209,6591,173,9,25,6
25,6556,6328,12884,228,9,25,6
1,954,1165,2119,-211,9,25,6
12,4023,3726,7749,297,9,25,6
6,6466,9126,15592,-2660,9,25,6
12,9833,6944,16777,2889,9,25,6
25,1542,1372,2914,170,9,25,6
14,1911,1955,3866,-44,9,25,6
14,2702,2558,5260,144,9,25,6
2,5271,5878,11149,-607,9,25,6
5,1702,2115,3817,-413,9,25,6
11,7275,7235,14510,40,9,25,6
5,6391,5936,12327,455,9,25,6
3,8784,9358,18142,-574,9,25,6
0,11486,11907,23393,-421,9,25,6
3,11167,11095,22262,72,9,25,6
1,8915,12298,21213,-3383,9,25,6
4,1067,1198,2265,-131,9,25,6
2,9035,9861,18896,-826,9,25,6
12,1702,2225,3927,-523,9,25,6
12,2801,2617,5418,184,9,25,6
0,14134,14429,28563,-295,9,25,6
5,7573,7416,14989,157,9,25,6
14,11506,11209,22715,297,9,25,6
14,10776,10461,21237,315,9,25,6
3,1615,1666,3281,-51,9,25,6
8,1355,1079,2434,276,9,25,6
11,5516,7300,12816,-1784,9,25,6
4,5223,5007,10230,216,9,25,6
9,685,702,1387,-17,9,25,6
8,5704,5604,11308,100,9,25,6
5,6440,7794,14234,-1354,9,25,6
13,1734,1526,3260,208,9,25,6
16,6670,5426,12096,1244,9,25,6
1,13847,13569,27416,278,9,25,6
6,13242,12694,25936,548,9,25,6
4,4198,4412,8610,-214,9,25,6
8,6505,6417,12922,88,9,25,6
16,2945,3219,6164,-274,9,25,6
23,3921,3963,7884,-42,9,25,6
6,6807,6269,13076,538,9,25,6
15,2962,2895,5857,67,9,25,6
4,3246,3016,6262,230,9,25,6
4,4190,4414,8604,-224,9,25,6
